correct: 0.971 
antenna 1 stay longer 


Key: Tag1, Value: E28068940000401D6E135DC6
Key: Tag2, Value: E28068940000501D6E13EDC6
Key: Tag3, Value: E28068940000401D6E13B5C6
Key: Tag4, Value: E28068940000401D6E136DC6
Key: Tag5, Value: 000000000000000000001088
*SGo* -- Listen on :16311
--- {E28068940000501D6E13EDC6 17 1740496789445929 -51}
--- {E28068940000501D6E13EDC6 17 1740496789451788 -51}
--- {E28068940000501D6E13EDC6 17 1740496789491854 -52}
--- {E28068940000501D6E13EDC6 17 1740496789498781 -52}
RFID ready to run
--- 10
--- {E28068940000501D6E13EDC6 17 1740496789544475 -51}
--- {E28068940000501D6E13EDC6 17 1740496789553480 -50}
--- {E28068940000501D6E13EDC6 17 1740496789588160 -50}
--- {E28068940000501D6E13EDC6 17 1740496789598473 -50}
--- {E28068940000501D6E13EDC6 17 1740496789635984 -50}
--- {E28068940000501D6E13EDC6 17 1740496789642857 -50}
--- {E28068940000501D6E13EDC6 17 1740496789679140 -50}
--- {E28068940000501D6E13EDC6 17 1740496789689356 -50}
--- {E28068940000501D6E13EDC6 17 1740496789734455 -50}
--- {E28068940000501D6E13EDC6 17 1740496789740976 -50}
--- 10
--- {E28068940000501D6E13EDC6 17 1740496789778899 -50}
--- {E28068940000501D6E13EDC6 17 1740496789788175 -50}
--- {E28068940000501D6E13EDC6 17 1740496789823591 -50}
--- {E28068940000501D6E13EDC6 17 1740496789832817 -50}
--- {E28068940000501D6E13EDC6 17 1740496789866294 -50}
--- {E28068940000501D6E13EDC6 17 1740496789874943 -50}
--- {E28068940000501D6E13EDC6 17 1740496789912095 -50}
--- {E28068940000501D6E13EDC6 17 1740496789932571 -49}
--- {E28068940000501D6E13EDC6 17 1740496789966562 -49}
--- {E28068940000501D6E13EDC6 17 1740496789976682 -49}
--- 12
--- {E28068940000501D6E13EDC6 17 1740496790011596 -49}
--- {E28068940000501D6E13EDC6 17 1740496790019607 -49}
--- {E28068940000501D6E13EDC6 17 1740496790058401 -49}
--- {E28068940000501D6E13EDC6 17 1740496790067648 -49}
--- {E28068940000501D6E13EDC6 17 1740496790103766 -49}
--- {E28068940000501D6E13EDC6 17 1740496790113287 -49}
--- {E28068940000501D6E13EDC6 17 1740496790152532 -51}
--- {E28068940000501D6E13EDC6 17 1740496790160671 -51}
--- {E28068940000501D6E13EDC6 17 1740496790202212 -51}
--- {E28068940000501D6E13EDC6 17 1740496790209999 -51}
--- {E28068940000501D6E13EDC6 17 1740496790246143 -51}
--- {E28068940000501D6E13EDC6 17 1740496790254231 -51}
--- 10
--- {E28068940000501D6E13EDC6 17 1740496790291938 -51}
--- {E28068940000501D6E13EDC6 17 1740496790300691 -51}
--- {E28068940000501D6E13EDC6 17 1740496790344924 -50}
--- {E28068940000501D6E13EDC6 17 1740496790355997 -50}
--- {E28068940000501D6E13EDC6 17 1740496790393805 -50}
--- {E28068940000501D6E13EDC6 17 1740496790402416 -50}
--- {E28068940000501D6E13EDC6 17 1740496790437335 -50}
--- {E28068940000501D6E13EDC6 17 1740496790443014 -50}
--- {E28068940000501D6E13EDC6 17 1740496790483142 -50}
--- {E28068940000501D6E13EDC6 17 1740496790491908 -50}
--- 10
--- {E28068940000501D6E13EDC6 17 1740496790537473 -50}
--- {E28068940000501D6E13EDC6 17 1740496790543064 -50}
--- {E28068940000501D6E13EDC6 17 1740496790584063 -50}
--- {E28068940000501D6E13EDC6 17 1740496790590920 -50}
--- {E28068940000501D6E13EDC6 17 1740496790623726 -50}
--- {E28068940000501D6E13EDC6 17 1740496790636585 -50}
--- {E28068940000501D6E13EDC6 17 1740496790672431 -50}
--- {E28068940000501D6E13EDC6 17 1740496790679353 -50}
--- {E28068940000501D6E13EDC6 17 1740496790718842 -50}
--- {E28068940000501D6E13EDC6 17 1740496790725290 -51}
--- 11
--- {E28068940000501D6E13EDC6 17 1740496790771841 -51}
--- {E28068940000501D6E13EDC6 17 1740496790781418 -50}
--- {E28068940000501D6E13EDC6 17 1740496790815337 -51}
--- {E28068940000501D6E13EDC6 17 1740496790821975 -51}
--- {E28068940000501D6E13EDC6 17 1740496790861743 -51}
--- {E28068940000501D6E13EDC6 17 1740496790869482 -51}
--- {E28068940000501D6E13EDC6 17 1740496790908240 -51}
--- {E28068940000501D6E13EDC6 17 1740496790915951 -51}
--- {E28068940000501D6E13EDC6 17 1740496790957482 -52}
--- {E28068940000501D6E13EDC6 17 1740496790969815 -52}
--- {E28068940000501D6E13EDC6 17 1740496791005043 -51}
--- 11
--- {E28068940000501D6E13EDC6 17 1740496791015053 -51}
--- {E28068940000501D6E13EDC6 17 1740496791049722 -52}
--- {E28068940000501D6E13EDC6 17 1740496791058692 -51}
--- {E28068940000501D6E13EDC6 17 1740496791098006 -52}
--- {E28068940000501D6E13EDC6 17 1740496791104801 -52}
--- {E28068940000501D6E13EDC6 17 1740496791144285 -51}
--- {E28068940000501D6E13EDC6 17 1740496791158818 -52}
--- {E28068940000501D6E13EDC6 17 1740496791192754 -51}
--- {E28068940000501D6E13EDC6 17 1740496791203841 -51}
--- {E28068940000501D6E13EDC6 17 1740496791238089 -51}
--- {E28068940000501D6E13EDC6 17 1740496791246777 -51}
--- 10
--- {E28068940000501D6E13EDC6 17 1740496791283418 -51}
--- {E28068940000501D6E13EDC6 17 1740496791290955 -51}
--- {E28068940000501D6E13EDC6 17 1740496791325954 -51}
--- {E28068940000501D6E13EDC6 17 1740496791343976 -51}
--- {E28068940000501D6E13EDC6 17 1740496791378131 -51}
--- {E28068940000501D6E13EDC6 17 1740496791391799 -51}
--- {E28068940000501D6E13EDC6 17 1740496791428836 -51}
--- {E28068940000501D6E13EDC6 17 1740496791435347 -51}
--- {E28068940000501D6E13EDC6 17 1740496791472476 -50}
--- {E28068940000501D6E13EDC6 17 1740496791481831 -50}
--- 10
--- {E28068940000501D6E13EDC6 17 1740496791519149 -50}
--- {E28068940000501D6E13EDC6 17 1740496791523330 -50}
--- {E28068940000501D6E13EDC6 17 1740496791570880 -49}
--- {E28068940000501D6E13EDC6 17 1740496791575756 -49}
--- {E28068940000501D6E13EDC6 17 1740496791617178 -48}
--- {E28068940000501D6E13EDC6 17 1740496791624663 -48}
--- {E28068940000501D6E13EDC6 17 1740496791660438 -47}
--- {E28068940000501D6E13EDC6 17 1740496791669169 -47}
--- {E28068940000501D6E13EDC6 17 1740496791707400 -46}
--- {E28068940000501D6E13EDC6 17 1740496791712758 -46}
--- 12
--- {E28068940000501D6E13EDC6 17 1740496791757160 -46}
--- {E28068940000501D6E13EDC6 17 1740496791768597 -45}
--- {E28068940000501D6E13EDC6 17 1740496791805600 -45}
--- {E28068940000501D6E13EDC6 17 1740496791811799 -44}
--- {E28068940000501D6E13EDC6 17 1740496791846238 -44}
--- {E28068940000501D6E13EDC6 17 1740496791858381 -44}
--- {E28068940000501D6E13EDC6 17 1740496791894862 -44}
--- {E28068940000501D6E13EDC6 17 1740496791903559 -44}
--- {E28068940000501D6E13EDC6 17 1740496791940235 -46}
--- {E28068940000501D6E13EDC6 17 1740496791954517 -46}
--- {E28068940000501D6E13EDC6 17 1740496791993291 -49}
--- {E28068940000501D6E13EDC6 17 1740496791999019 -50}
--- 2
--- {E28068940000501D6E13EDC6 17 1740496792035457 -53}
--- {E28068940000501D6E13EDC6 17 1740496792046488 -54}
--- 10
--- {E28068940000501D6E13EDC6 17 1740496795040177 -53}
--- {E28068940000501D6E13EDC6 17 1740496795049364 -52}
--- {E28068940000501D6E13EDC6 17 1740496795088167 -48}
--- {E28068940000501D6E13EDC6 17 1740496795095715 -48}
--- {E28068940000501D6E13EDC6 17 1740496795133075 -45}
--- {E28068940000501D6E13EDC6 17 1740496795143400 -44}
--- {E28068940000501D6E13EDC6 17 1740496795174597 -42}
--- {E28068940000501D6E13EDC6 17 1740496795185469 -42}
--- {E28068940000501D6E13EDC6 17 1740496795219706 -40}
--- {E28068940000501D6E13EDC6 17 1740496795232633 -40}
--- 11
--- {E28068940000501D6E13EDC6 17 1740496795265544 -40}
--- {E28068940000501D6E13EDC6 17 1740496795277550 -40}
