result: 0.795 


Key: Tag1, Value: E28068940000401D6E135DC6
Key: Tag2, Value: E28068940000501D6E13EDC6
Key: Tag3, Value: E28068940000401D6E13B5C6
Key: Tag4, Value: E28068940000401D6E136DC6
Key: Tag5, Value: 000000000000000000001088
*SGo* -- Listen on :16311
RFID ready to run
RFID ready to run
--- 6
--- {E28068940000401D6E136DC6 17 1738680498619488 -54}
--- {E28068940000401D6E136DC6 17 1738680498625943 -54}
--- {E28068940000401D6E136DC6 17 1738680498663723 -54}
--- {E28068940000401D6E136DC6 17 1738680498674093 -54}
--- {E28068940000401D6E136DC6 17 1738680498711260 -55}
--- {E28068940000401D6E136DC6 17 1738680498714654 -55}
--- {E28068940000401D6E136DC6 17 1738680498754157 -55}
--- {E28068940000401D6E136DC6 17 1738680498764599 -55}
--- {E28068940000401D6E136DC6 17 1738680498805466 -55}
--- {E28068940000401D6E136DC6 17 1738680498812556 -55}
--- {E28068940000401D6E136DC6 17 1738680498851089 -55}
--- {E28068940000401D6E136DC6 17 1738680498859691 -55}
--- 11
--- {E28068940000401D6E136DC6 17 1738680498897388 -55}
--- {E28068940000401D6E136DC6 17 1738680498905754 -55}
--- {E28068940000401D6E136DC6 17 1738680498943239 -55}
--- {E28068940000401D6E136DC6 17 1738680498950364 -55}
--- {E28068940000401D6E136DC6 17 1738680498994487 -52}
--- {E28068940000401D6E136DC6 17 1738680499000307 -52}
--- {E28068940000401D6E136DC6 17 1738680499040302 -52}
--- {E28068940000401D6E136DC6 17 1738680499045825 -52}
--- {E28068940000401D6E136DC6 17 1738680499086179 -52}
--- {E28068940000401D6E136DC6 17 1738680499092745 -52}
--- {E28068940000401D6E136DC6 17 1738680499130748 -52}
--- 11
--- {E28068940000401D6E136DC6 17 1738680499139385 -52}
--- {E28068940000401D6E136DC6 17 1738680499175726 -52}
--- {E28068940000401D6E136DC6 17 1738680499181316 -52}
--- {E28068940000401D6E136DC6 17 1738680499230217 -54}
--- {E28068940000401D6E136DC6 17 1738680499236390 -54}
--- {E28068940000401D6E136DC6 17 1738680499274260 -54}
--- {E28068940000401D6E136DC6 17 1738680499281776 -54}
--- {E28068940000401D6E136DC6 17 1738680499317324 -54}
--- {E28068940000401D6E136DC6 17 1738680499325366 -54}
--- {E28068940000401D6E136DC6 17 1738680499362222 -54}
--- {E28068940000401D6E136DC6 17 1738680499375418 -54}
--- 10
--- {E28068940000401D6E136DC6 17 1738680499416184 -51}
--- {E28068940000401D6E136DC6 17 1738680499425369 -51}
--- {E28068940000401D6E136DC6 17 1738680499463870 -51}
--- {E28068940000401D6E136DC6 17 1738680499471610 -51}
--- {E28068940000401D6E136DC6 17 1738680499507470 -51}
--- {E28068940000401D6E136DC6 17 1738680499518081 -51}
--- {E28068940000401D6E136DC6 17 1738680499551620 -51}
--- {E28068940000401D6E136DC6 17 1738680499561441 -51}
--- {E28068940000401D6E136DC6 17 1738680499607380 -55}
--- {E28068940000401D6E136DC6 17 1738680499615413 -56}
--- 11
--- {E28068940000401D6E136DC6 17 1738680499652479 -56}
--- {E28068940000401D6E136DC6 17 1738680499660018 -56}
--- {E28068940000401D6E136DC6 17 1738680499695382 -55}
--- {E28068940000401D6E136DC6 17 1738680499704363 -56}
--- {E28068940000401D6E136DC6 17 1738680499743874 -55}
--- {E28068940000401D6E136DC6 17 1738680499751835 -56}
--- {E28068940000401D6E136DC6 17 1738680499789037 -56}
--- {E28068940000401D6E136DC6 17 1738680499806340 -52}
--- {E28068940000401D6E136DC6 17 1738680499838707 -52}
--- {E28068940000401D6E136DC6 17 1738680499846116 -52}
--- {E28068940000401D6E136DC6 17 1738680499884601 -52}
--- 11
--- {E28068940000401D6E136DC6 17 1738680499893553 -52}
--- {E28068940000401D6E136DC6 17 1738680499930901 -52}
--- {E28068940000401D6E136DC6 17 1738680499938905 -52}
--- {E28068940000401D6E136DC6 17 1738680499974667 -52}
--- {E28068940000401D6E136DC6 17 1738680499986729 -52}
--- {E28068940000401D6E136DC6 17 1738680500030523 -50}
--- {E28068940000401D6E136DC6 17 1738680500041040 -50}
--- {E28068940000401D6E136DC6 17 1738680500076297 -50}
--- {E28068940000401D6E136DC6 17 1738680500087328 -51}
--- {E28068940000401D6E136DC6 17 1738680500123535 -50}
--- {E28068940000401D6E136DC6 17 1738680500130647 -50}
--- 10
--- {E28068940000401D6E136DC6 17 1738680500168987 -51}
--- {E28068940000401D6E136DC6 17 1738680500174842 -51}
--- {E28068940000401D6E136DC6 17 1738680500220470 -55}
--- {E28068940000401D6E136DC6 17 1738680500229816 -55}
--- {E28068940000401D6E136DC6 17 1738680500265463 -56}
--- {E28068940000401D6E136DC6 17 1738680500275868 -55}
--- {E28068940000401D6E136DC6 17 1738680500310448 -55}
--- {E28068940000401D6E136DC6 17 1738680500320999 -56}
--- {E28068940000401D6E136DC6 17 1738680500359045 -55}
--- {E28068940000401D6E136DC6 17 1738680500363391 -55}
--- 10
--- {E28068940000401D6E136DC6 17 1738680500401169 -56}
--- {E28068940000401D6E136DC6 17 1738680500415186 -54}
--- {E28068940000401D6E136DC6 17 1738680500451442 -54}
--- {E28068940000401D6E136DC6 17 1738680500461296 -54}
--- {E28068940000401D6E136DC6 17 1738680500499085 -54}
--- {E28068940000401D6E136DC6 17 1738680500506912 -55}
--- {E28068940000401D6E136DC6 17 1738680500546114 -54}
--- {E28068940000401D6E136DC6 17 1738680500552021 -55}
--- {E28068940000401D6E136DC6 17 1738680500587257 -55}
--- {E28068940000401D6E136DC6 17 1738680500600659 -54}
--- 12
--- {E28068940000401D6E136DC6 17 1738680500639414 -55}
--- {E28068940000401D6E136DC6 17 1738680500648574 -55}
--- {E28068940000401D6E136DC6 17 1738680500686343 -54}
--- {E28068940000401D6E136DC6 17 1738680500699226 -54}
--- {E28068940000401D6E136DC6 17 1738680500733296 -55}
--- {E28068940000401D6E136DC6 17 1738680500743479 -55}
--- {E28068940000401D6E136DC6 17 1738680500779360 -54}
--- {E28068940000401D6E136DC6 17 1738680500786289 -55}
--- {E28068940000401D6E136DC6 17 1738680500829054 -51}
--- {E28068940000401D6E136DC6 17 1738680500839396 -50}
--- {E28068940000401D6E136DC6 17 1738680500877163 -51}
--- {E28068940000401D6E136DC6 17 1738680500882133 -50}
--- 10
--- {E28068940000401D6E136DC6 17 1738680500917715 -51}
--- {E28068940000401D6E136DC6 17 1738680500930999 -51}
--- {E28068940000401D6E136DC6 17 1738680500966133 -50}
--- {E28068940000401D6E136DC6 17 1738680500978036 -51}
--- {E28068940000401D6E136DC6 17 1738680501012298 -51}
--- {E28068940000401D6E136DC6 17 1738680501021523 -50}
--- {E28068940000401D6E136DC6 17 1738680501066458 -54}
--- {E28068940000401D6E136DC6 17 1738680501074114 -54}
--- {E28068940000401D6E136DC6 17 1738680501108639 -55}
--- {E28068940000401D6E136DC6 17 1738680501118330 -55}
--- 10
--- {E28068940000401D6E136DC6 17 1738680501155303 -55}
--- {E28068940000401D6E136DC6 17 1738680501163619 -55}
--- {E28068940000401D6E136DC6 17 1738680501202036 -55}
--- {E28068940000401D6E136DC6 17 1738680501207289 -55}
--- {E28068940000401D6E136DC6 17 1738680501255137 -50}
--- {E28068940000401D6E136DC6 17 1738680501263723 -50}
--- {E28068940000401D6E136DC6 17 1738680501298018 -51}
--- {E28068940000401D6E136DC6 17 1738680501306643 -51}
--- {E28068940000401D6E136DC6 17 1738680501345159 -51}
--- {E28068940000401D6E136DC6 17 1738680501350763 -51}
--- 11
--- {E28068940000401D6E136DC6 17 1738680501387266 -51}
--- {E28068940000401D6E136DC6 17 1738680501397518 -51}
--- {E28068940000401D6E136DC6 17 1738680501443409 -53}
--- {E28068940000401D6E136DC6 17 1738680501449971 -53}
--- {E28068940000401D6E136DC6 17 1738680501488948 -53}
--- {E28068940000401D6E136DC6 17 1738680501497687 -53}
--- {E28068940000401D6E136DC6 17 1738680501533512 -53}
--- {E28068940000401D6E136DC6 17 1738680501543092 -53}
--- {E28068940000401D6E136DC6 17 1738680501575745 -53}
--- {E28068940000401D6E136DC6 17 1738680501587834 -54}
--- {E28068940000401D6E136DC6 17 1738680501622872 -54}
--- 11
--- {E28068940000401D6E136DC6 17 1738680501641173 -51}
--- {E28068940000401D6E136DC6 17 1738680501675126 -50}
--- {E28068940000401D6E136DC6 17 1738680501683230 -50}
--- {E28068940000401D6E136DC6 17 1738680501723434 -50}
--- {E28068940000401D6E136DC6 17 1738680501728435 -50}
--- {E28068940000401D6E136DC6 17 1738680501768906 -50}
--- {E28068940000401D6E136DC6 17 1738680501777188 -50}
--- {E28068940000401D6E136DC6 17 1738680501809954 -49}
--- {E28068940000401D6E136DC6 17 1738680501821291 -50}
--- {E28068940000401D6E136DC6 17 1738680501865762 -50}
--- {E28068940000401D6E136DC6 17 1738680501875008 -50}
--- 10
--- {E28068940000401D6E136DC6 17 1738680501908589 -50}
--- {E28068940000401D6E136DC6 17 1738680501915797 -50}
--- {E28068940000401D6E136DC6 17 1738680501954508 -51}
--- {E28068940000401D6E136DC6 17 1738680501966002 -51}
--- {E28068940000401D6E136DC6 17 1738680502001277 -51}
--- {E28068940000401D6E136DC6 17 1738680502008998 -52}
--- {E28068940000401D6E136DC6 17 1738680502052653 -51}
--- {E28068940000401D6E136DC6 17 1738680502061655 -52}
--- {E28068940000401D6E136DC6 17 1738680502100433 -52}
--- {E28068940000401D6E136DC6 17 1738680502108767 -52}
--- 11
--- {E28068940000401D6E136DC6 17 1738680502146747 -51}
--- {E28068940000401D6E136DC6 17 1738680502152674 -51}
--- {E28068940000401D6E136DC6 17 1738680502191389 -51}
--- {E28068940000401D6E136DC6 17 1738680502199701 -51}
--- {E28068940000401D6E136DC6 17 1738680502245110 -50}
--- {E28068940000401D6E136DC6 17 1738680502252666 -50}
--- {E28068940000401D6E136DC6 17 1738680502285991 -51}
--- {E28068940000401D6E136DC6 17 1738680502296998 -51}
--- {E28068940000401D6E136DC6 17 1738680502335040 -52}
--- {E28068940000401D6E136DC6 17 1738680502341632 -52}
--- {E28068940000401D6E136DC6 17 1738680502378784 -53}
--- 7
--- {E28068940000401D6E136DC6 17 1738680502386254 -53}
--- {E28068940000401D6E136DC6 17 1738680502422627 -54}
--- {E28068940000401D6E136DC6 17 1738680502431841 -54}
--- {E28068940000401D6E136DC6 17 1738680502478910 -54}
--- {E28068940000401D6E136DC6 17 1738680502486051 -54}
--- {E28068940000401D6E136DC6 17 1738680502523190 -56}
--- {E28068940000401D6E136DC6 17 1738680502533941 -57}
--- 2
--- {E28068940000401D6E136DC6 17 1738680506877906 -57}
--- {E28068940000401D6E136DC6 17 1738680506887572 -56}
--- 8
--- {E28068940000401D6E136DC6 17 1738680506971216 -58}
--- {E28068940000401D6E136DC6 17 1738680506982279 -58}
--- {E28068940000401D6E136DC6 17 1738680507018335 -57}
